#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 6 and 7. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57849.2811,0.62508287,0.77239540,0.49279247
57849.2823,0.84657608,1.02521620,0.70240598
57849.2834,0.64604776,0.80208369,0.51681673
57849.2846,0.44140176,0.57800276,0.33581480
57849.2858,0.41725900,0.55040218,0.31391285
57849.2869,0.43678585,0.57757459,0.33556604
57849.2881,0.70879847,0.86723944,0.56895408
57849.2892,0.70410522,0.87006421,0.57080727
57849.2904,0.78835231,0.96372848,0.64722047
57849.2916,0.71598766,0.87981308,0.57720304
57849.2927,0.53412004,0.68093675,0.41444113
57849.2939,0.50979204,0.65393044,0.39239576
57849.2950,0.88650443,1.06581900,0.73022416
57849.2962,0.78340588,0.95287612,0.63523158
57849.2973,0.59363833,0.74669824,0.46609330
57849.2985,0.43136748,0.56925276,0.32466397
57849.2997,0.78399348,0.95528088,0.63683471
57849.3008,0.48269080,0.62758555,0.37082080
57849.3020,0.70388196,0.86713601,0.56394072
57849.3031,0.71822834,0.89046519,0.57911282
57849.3043,1.10945270,1.35834850,0.91223928
57849.3355,0.67478991,0.82714251,0.53793100
57849.3367,0.61889595,0.77156991,0.49226580
57849.3378,0.58842376,0.74285358,0.46896747
57849.3390,0.90454638,1.07797510,0.74731866
57849.3402,0.74354851,0.91142839,0.60760060
57849.3413,0.74406686,0.91208714,0.60803975
57849.3425,0.50918200,0.65751580,0.40018634
57849.3436,0.82353187,0.99642567,0.67837282
57849.3448,0.54757985,0.68619938,0.42315492
57849.3459,0.94862050,1.13547080,0.79571455
57849.3471,0.51358760,0.65817123,0.40058526
57849.3483,0.74245143,0.91336602,0.60889231
57849.3494,0.79732954,0.97037131,0.65625659
57849.3506,0.72178117,0.88933676,0.58827590
57849.3517,0.51637742,0.66180458,0.40279664
57849.3529,0.77634844,0.94730317,0.63618956
57849.3541,0.38710537,0.52038468,0.29078270
57849.3552,0.83136514,1.02801670,0.66239500
57849.3610,0.50039540,0.65320214,0.39195873
57849.3622,0.81284710,0.97937864,0.65773080
57849.3633,0.78182067,0.95251485,0.63499075
57849.3645,0.61837611,0.77731518,0.49072327
57849.3656,0.67230110,0.83662076,0.53907044
57849.3668,0.80761454,0.98399093,0.66082832
57849.3679,0.37721276,0.50828174,0.27762865
57849.3691,0.61658935,0.77906859,0.49183020
57849.3703,0.74226438,0.91202290,0.59833435
57849.3714,0.79367483,0.97038712,0.63662431
57849.4027,0.59287390,0.74205566,0.46846374
57849.4038,0.53391800,0.68539124,0.42265657
57849.4050,0.46327401,0.60079670,0.35499211
57849.4061,0.43395029,0.57164563,0.33212136
57849.4073,0.79972191,0.96829652,0.65485342
57849.4084,0.46267108,0.60000069,0.35452177
57849.4096,0.41453863,0.54331359,0.30986999
57849.4108,0.53682363,0.68603732,0.42305499
57849.4119,0.79570686,0.96829216,0.65485048
57849.4131,0.67061216,0.82820703,0.53862331
57849.4142,0.43530823,0.57175795,0.33218662
57849.4154,0.87472233,1.05352910,0.72617387
57849.4166,0.51815647,0.66029415,0.40187734
57849.4177,0.64969231,0.80465025,0.51847048
57849.4189,0.46755082,0.60427003,0.35704439
57849.4200,0.59899946,0.74930200,0.47303839
57849.4212,0.62433142,0.77979420,0.49751294
57849.4223,0.72848882,0.89566378,0.59246109
57849.4235,0.73644234,0.90023688,0.59548608
57849.4247,0.71254604,0.87883148,0.57655906
57849.4258,0.88304803,1.40566550,0.52838243
57849.4328,0.56414656,0.71870696,0.44320120
