#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 12. For details
#  of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57855.2412,0.74397514,0.91032185,0.60686293
57855.2424,0.53977803,0.68472684,0.42224686
57855.2435,0.87043124,1.04833800,0.72259578
57855.2447,0.74618586,0.90876848,0.60582738
57855.2458,0.74582969,0.90844463,0.60561149
57855.2470,0.64200903,0.79751185,0.51387090
57855.2481,0.69433514,0.85348640,0.55993137
57855.2493,0.53576929,0.68435174,0.42201555
57855.2505,0.56364782,0.71326779,0.44522582
57855.2516,0.46375630,0.59986639,0.35444241
57855.2528,0.46261432,0.59998827,0.35451443
57855.2539,0.64830897,0.79927905,0.51500958
57855.2609,0.65217909,0.80313444,0.51749378
57855.2620,0.52320069,0.66340161,0.40376865
57855.2632,0.50108038,0.64214042,0.38532107
57855.2644,0.53964534,0.68488527,0.41684433
57855.2655,0.53217753,0.68033387,0.41407419
57855.2667,0.55264034,0.70534642,0.43496223
57855.2678,0.36722671,0.49444718,0.27007207
57855.2690,0.50389688,0.64088474,0.38456759
57855.2701,0.46627341,0.60843214,0.35950365
57855.2713,0.60128094,0.74794842,0.47218387
57855.2725,0.72077027,0.89071514,0.58918767
57855.2736,0.51559790,0.66063444,0.40208445
57855.2748,0.61894437,0.77584492,0.49499328
57855.2759,0.49011851,0.63015458,0.37812888
57855.2771,0.38367591,0.53806763,0.26930093
57855.3083,0.69273169,0.85438363,0.56052000
57855.3095,0.43751593,0.56987747,0.33109407
57855.3106,0.90099636,1.07701520,0.74665321
57855.3118,0.53835269,0.68459331,0.42216452
57855.3130,0.51546786,0.65589692,0.39920104
57855.3141,0.64401895,0.79842619,0.51446005
57855.3153,0.64325553,0.79895887,0.51480328
57855.3164,0.92604333,1.10760520,0.77210294
57855.3176,0.46913807,0.60070570,0.35493834
57855.3187,0.85125724,1.02479270,0.70211585
57855.3199,0.75106067,0.91273672,0.60847279
57855.3211,0.66926270,0.82822825,0.53863711
57855.3222,0.77281313,0.94142959,0.63224499
57855.3234,0.61695612,0.77227424,0.49271517
57855.3245,0.45474069,0.64319969,0.32191915
57855.3338,0.62726086,0.78463489,0.50060133
57855.3350,0.59769551,0.75313294,0.47545689
57855.3361,0.64692243,0.80857717,0.52100076
57855.3373,0.67564792,0.83488601,0.54296698
57855.3384,0.61938850,0.77602823,0.49511024
57855.3396,0.54264203,0.68892675,0.42483680
57855.3407,0.59145640,0.74447926,0.46999377
57855.3419,0.64480123,0.80330602,0.51760433
57855.3431,0.61879973,0.77506169,0.49449358
57855.3442,0.56809925,0.74385353,0.43217272
57855.3755,0.53514308,0.68491564,0.42236329
57855.3766,0.74172115,0.91054328,0.60701055
57855.3778,0.64222837,0.79765672,0.51396425
57855.3789,0.59175809,0.74239856,0.46868021
57855.3801,0.63991111,0.79932181,0.51503713
57855.3812,0.66174767,0.82766625,0.53827162
57855.3824,0.64308069,0.80025220,0.51563663
57855.3836,0.56900156,0.71532786,0.44651173
57855.3847,0.64578113,0.80037619,0.51571652
57855.3859,0.61619045,0.77294466,0.49314290
57855.3870,0.54072933,0.68761601,0.42402851
57855.3882,0.64524671,0.80136837,0.51635583
57855.3894,0.61420106,0.77366695,0.49360372
57855.3905,0.84824572,1.02700640,0.70363250
57855.3917,0.59917160,0.74514582,0.47041457
57855.3928,0.56517287,0.71690220,0.44749444
57855.3940,0.62061334,0.77345847,0.49347071
57855.3951,0.23262510,0.41445667,0.11978571
57855.4056,0.49248683,0.63297490,0.37982123
57855.4067,0.51794520,0.66153311,0.40263141
57855.4079,0.46825162,0.60251239,0.35600585
57855.4090,0.66977118,0.82911087,0.53921113
57855.4102,0.69828878,0.85930602,0.56374934
57855.4113,0.35509304,0.51214310,0.24671259
57855.4426,0.79901949,0.96784012,0.65454477
57855.4437,0.59181720,0.74230656,0.46862213
57855.4449,0.54136981,0.68527905,0.42258739
57855.4461,0.64383997,0.79961505,0.51522608
57855.4472,0.75193848,0.91261003,0.60838833
57855.4484,0.36062818,0.48586577,0.26538482
57855.4495,0.64521032,0.80140596,0.51638004
57855.4507,0.56400149,0.71673200,0.44738820
57855.4519,0.67161505,0.82950112,0.53946492
57855.4530,0.51010726,0.65879616,0.40096562
57855.4542,0.54169637,0.68884374,0.42478561
57855.4553,0.38693133,0.51642477,0.28856996
57855.4565,0.56566265,0.71747184,0.44785002
57855.4576,0.82383671,0.99989184,0.68073262
57855.4588,0.51954975,0.66076109,0.40216153
57855.4600,0.59335574,0.74584658,0.47085696
57855.4611,0.67202282,0.83329667,0.54193335
57855.4623,0.56821132,0.71926481,0.44896919
57855.4634,0.46618790,0.60426200,0.35703964
57855.4646,0.69264567,0.86046653,0.56451070
